"","date","regular","mid","premium","diesel","city","state"
"1",2024-02-27,3.778,3.707,3.794,4.071,"Juneau","AK"
"2",2024-02-27,3.476,3.59,3.845,4.023,"Fairbanks","AK"
"3",2024-02-27,3.533,3.766,3.993,3.771,"Anchorage","AK"
"4",2024-02-27,2.986,3.384,3.774,3.893,"Birmingham","AL"
"5",2024-02-27,3.011,3.407,3.762,3.86,"Huntsville","AL"
"6",2024-02-27,2.975,3.37,3.775,3.797,"Mobile","AL"
"7",2024-02-27,3.01,3.432,3.856,3.886,"Montgomery","AL"
"8",2024-02-27,2.963,3.395,3.795,3.859,"Tuscaloosa","AL"
"9",2024-02-27,2.937,3.307,3.664,3.817,"Anniston-Oxford","AL"
"10",2024-02-27,2.932,3.296,3.632,3.814,"Auburn","AL"
"11",2024-02-27,3.006,3.409,3.812,3.845,"Daphne-Fairhope-Foley","AL"
"12",2024-02-27,2.934,3.352,3.723,3.801,"Decatur","AL"
"13",2024-02-27,3.078,3.485,3.847,3.934,"Dothan","AL"
"14",2024-02-27,2.967,3.377,3.771,3.8,"Florence-Muscle Shoals","AL"
"15",2024-02-27,2.889,3.294,3.64,3.746,"Gadsden","AL"
"16",2024-02-27,2.978,3.387,3.66,3.92,"Russell County","AL"
"17",2024-02-27,2.922,3.265,3.589,3.563,"Fayetteville-Springdale-Rogers","AR"
"18",2024-02-27,2.875,3.271,3.673,3.705,"Little Rock-North Little Rock","AR"
"19",2024-02-27,2.912,3.408,3.818,3.872,"Pine Bluff","AR"
"20",2024-02-27,2.821,3.184,3.602,3.692,"Fort Smith (AR only)","AR"
"21",2024-02-27,2.966,3.364,3.75,3.859,"Texarkana (AR only)","AR"
"22",2024-02-27,2.87,3.299,3.695,3.679,"Hot Springs","AR"
"23",2024-02-27,2.919,3.305,3.7,3.726,"Jonesboro","AR"
"24",2024-02-27,2.929,3.306,3.696,3.666,"West Memphis","AR"
"25",2024-02-27,3.329,3.575,3.897,4.022,"Flagstaff","AZ"
"26",2024-02-27,3.428,3.765,4.05,3.997,"Phoenix-Mesa","AZ"
"27",2024-02-27,3.338,3.659,3.944,3.982,"Pima County","AZ"
"28",2024-02-27,3.36,3.757,3.98,4.274,"Yuma","AZ"
"29",2024-02-27,3.414,3.752,4.033,3.974,"Phoenix Proper","AZ"
