"","date","regular","mid","premium","diesel","state"
"1",2024-04-04,4.188,4.343,4.592,3.89,"AK"
"2",2024-04-04,3.196,3.613,3.997,3.838,"AL"
"3",2024-04-04,3.171,3.573,3.947,3.738,"AR"
"4",2024-04-04,3.975,4.27,4.564,4.055,"AZ"
"5",2024-04-04,5.2,5.389,5.559,5.407,"CA"
"6",2024-04-04,3.066,3.432,3.744,3.686,"CO"
"7",2024-04-04,3.442,3.964,4.366,4.223,"CT"
"8",2024-04-04,3.71,4.298,4.648,4.426,"DC"
"9",2024-04-04,3.2,3.723,4.017,3.991,"DE"
"10",2024-04-04,3.518,3.928,4.247,3.89,"FL"
"11",2024-04-04,3.335,3.758,4.146,3.97,"GA"
"12",2024-04-04,4.696,4.91,5.14,5.608,"HI"
"13",2024-04-04,3.264,3.557,3.972,3.776,"IA"
"14",2024-04-04,3.757,3.986,4.239,4.085,"ID"
"15",2024-04-04,3.913,4.4,4.838,4.09,"IL"
"16",2024-04-04,3.654,4.108,4.577,4.08,"IN"
"17",2024-04-04,3.176,3.49,3.797,3.675,"KS"
"18",2024-04-04,3.361,3.833,4.235,3.793,"KY"
"19",2024-04-04,3.165,3.581,3.934,3.725,"LA"
"20",2024-04-04,3.318,3.865,4.215,4.22,"MA"
"21",2024-04-04,3.55,4.1,4.4,4.112,"MD"
"22",2024-04-04,3.367,3.782,4.19,4.289,"ME"
"23",2024-04-04,3.566,4.065,4.561,4.044,"MI"
"24",2024-04-04,3.324,3.643,4.041,3.821,"MN"
"25",2024-04-04,3.256,3.605,3.899,3.679,"MO"
"26",2024-04-04,3.096,3.502,3.868,3.704,"MS"
"27",2024-04-04,3.591,3.89,4.191,4.017,"MT"
"28",2024-04-04,3.264,3.673,4.052,3.967,"NC"
"29",2024-04-04,3.409,3.726,4.049,3.83,"ND"
"30",2024-04-04,3.32,3.518,3.962,3.696,"NE"
"31",2024-04-04,3.272,3.721,4.147,4.19,"NH"
"32",2024-04-04,3.256,3.792,4.055,3.988,"NJ"
"33",2024-04-04,3.381,3.756,4.051,3.805,"NM"
"34",2024-04-04,4.497,4.737,4.978,4.227,"NV"
"35",2024-04-04,3.457,3.949,4.329,4.395,"NY"
"36",2024-04-04,3.527,3.964,4.429,4.062,"OH"
"37",2024-04-04,3.173,3.523,3.787,3.575,"OK"
"38",2024-04-04,4.333,4.519,4.76,4.251,"OR"
"39",2024-04-04,3.622,4.007,4.32,4.491,"PA"
"40",2024-04-04,3.316,3.942,4.289,4.283,"RI"
"41",2024-04-04,3.227,3.639,4,3.802,"SC"
"42",2024-04-04,3.316,3.454,3.876,3.692,"SD"
"43",2024-04-04,3.212,3.619,3.986,3.797,"TN"
"44",2024-04-04,3.168,3.569,3.912,3.615,"TX"
"45",2024-04-04,3.878,4.111,4.322,3.982,"UT"
"46",2024-04-04,3.424,3.846,4.195,4.004,"VA"
"47",2024-04-04,3.379,3.902,4.302,4.144,"VT"
"48",2024-04-04,4.571,4.806,5.026,4.685,"WA"
"49",2024-04-04,3.381,3.831,4.275,3.789,"WI"
"50",2024-04-04,3.428,3.809,4.18,4.001,"WV"
"51",2024-04-04,3.306,3.56,3.833,3.898,"WY"
